Text,Token,Dominant_Topic,Contribution%,Topic_Name
mathlievetradingsignaltime075924design closing point accord thecryptocurrency ai btc etherum bnb orc20 bch xrp usdt shib link dydx chatgpt,"['design', 'closing', 'point', 'accord', 'ai', 'btc', 'etherum', 'bnb', 'orc', 'bch', 'xrp', 'usdt', 'shib', 'link', 'dydx', 'chatgpt']",3,60.46,T3 Experiment AI
chatgpt cause website scrap stop get updated plan train model still also think far early ai company get sue oblivion ip theft,"['chatgpt', 'cause', 'website', 'scrap', 'stop', 'get', 'updated', 'plan', 'train', 'model', 'still', 'also', 'think', 'far', 'early', 'ai', 'company', 'get', 'sue', 'oblivion', 'ip', 'theft']",1,91.16,T1 Information Technology
one way education foundation could stop pay many people endless englishmajoring chatgpt start pay people system work systemsmatter,"['one', 'way', 'education', 'foundation', 'could', 'stop', 'pay', 'many', 'people', 'endless', 'englishmajoring', 'chatgpt', 'start', 'pay', 'people', 'system', 'work', 'systemsmatter']",4,91.76,T4 Random Ask and Conversations
african union commission fall victim cybercrime use deep fake impersonate head moussa faki incident highlight need strong cybersecurity measure worldwide cybersecurity deepfakes africanunioncommission,"['african', 'union', 'commission', 'fall', 'victim', 'cybercrime', 'use', 'deep', 'fake', 'impersonate', 'head', 'moussa', 'faki', 'incident', 'highlight', 'need', 'strong', 'cybersecurity', 'measure', 'worldwide', 'cybersecurity', 'deepfakes']",1,74.41,T1 Information Technology
chatgpt,['chatgpt'],1,25.0,T1 Information Technology
premium account available prem canva pro netflix nf hbo go share yt youtube grammarly gram ph mura spotify quillbot turnitin disney plus amazon prime chatgpt vivamax spotify spoti ph mura wts lfb lf prem wtb lf bns jungkook twice seventeen 2kshwkzj,"['premium', 'account', 'available', 'prem', 'canva', 'pro', 'netflix', 'nf', 'hbo', 'go', 'share', 'yt', 'youtube', 'grammarly', 'gram', 'ph', 'mura', 'spotify', 'quillbot', 'turnitin', 'disney', 'plus', 'amazon', 'prime', 'chatgpt', 'vivamax', 'spotify', 'spoti', 'ph', 'mura', 'wts', 'lfb', 'lf', 'prem', 'wtb', 'lf', 'bns', 'jungkook', 'twice', 'seventeen', 'kshwkzj']",4,80.97,T4 Random Ask and Conversations
chatgpt education folder insane,"['chatgpt', 'education', 'folder', 'insane']",1,25.0,T1 Information Technology
drink enough red bull simulate effect drug limitless chatgpt burn 8 environment lifespan come new slur nonbinary people,"['drink', 'enough', 'red', 'bull', 'simulate', 'effect', 'drug', 'limitless', 'chatgpt', 'burn', 'environment', 'lifespan', 'come', 'new', 'slur', 'nonbinary', 'people']",3,83.9,T3 Experiment AI
wring child heart face like death reach sittingroom parent chatgpt账号 飞机号 推特账号 推特号 linkedin账号 46441,"['wring', 'child', 'heart', 'face', 'like', 'death', 'reach', 'sittingroom', 'parent', 'chatgpt账号_飞机号_推特账号', '推特号', 'linkedin账号']",1,73.57,T1 Information Technology
chatgpt disruption stack overflow lay 28 percent staff ai,"['chatgpt', 'disruption', 'stack', 'overflow', 'lay', 'percent', 'staff', 'ai']",1,25.0,T1 Information Technology
ask chatgpt country sophisticate propaganda machine say israel,"['ask', 'chatgpt', 'country', 'sophisticate', 'propaganda', 'machine', 'say', 'israel']",4,79.42,T4 Random Ask and Conversations
ask chatgpt make halloween quiz think question might hard,"['ask', 'chatgpt', 'make', 'halloween', 'quiz', 'think', 'question', 'might', 'hard']",1,88.03,T1 Information Technology
sorry chatgpt,"['sorry', 'chatgpt']",1,25.0,T1 Information Technology
chatgpt rescue,"['chatgpt', 'rescue']",1,25.0,T1 Information Technology
chatgpt fun cause im like like fuck ya brother go none humming hawwwyeeeein,"['chatgpt', 'fun', 'cause', 'im', 'like', 'like', 'fuck', 'ya', 'brother', 'go', 'none', 'humming', 'hawwwyeeeein']",4,73.78,T4 Random Ask and Conversations
openagents open platform language agent wild tl dr local chatgpt code interpreter,"['openagents', 'open', 'platform', 'language', 'agent', 'wild', 'tl', 'dr', 'local', 'chatgpt', 'code', 'interpreter']",4,79.22,T4 Random Ask and Conversations
