VADER_Sentiment,tweet_lemmatized,clean_text
Neutral,"['well', 'write', 'blog', 'post', 'chatgpt', 'im', 'personally', 'worried', 'teach', 'interesting', 'way', 'could', 'use', 'research', 'classicstwitter', 'ancmedtwitternn']",well write blog post chatgpt im personally worried teach interesting way could use research classicstwitter ancmedtwitternn
Neutral,"['hear', 'chatgpt', 'go', 'support', 'ticket', 'system', 'answer', 'customer', 'question']",hear chatgpt go support ticket system answer customer question
Neutral,"['play', '2', 'day', 'different', 'part', 'work', 'already', '80', 'way', 'decent', 'agu', 'proposal', 'chatgpt']",play 2 day different part work already 80 way decent agu proposal chatgpt
Neutral,"['funny', 'openais', 'chatgpt', 'chatbot', 'doesnt', 'know', 'refuse', 'something', 'ask', 'pretend', 'wonder', 'asimov', 'ever', 'write', 'story', 'scenario']",funny openais chatgpt chatbot doesnt know refuse something ask pretend wonder asimov ever write story scenario
Neutral,"['recently', 'interaction', 'labor', 'experience', 'least', 'mature', 'technological', 'intervention', 'generative', 'ai', 'set', 'change', 'undertake', 'interaction', 'labor', 'way', 'approximate', 'human', 'behavior', 'closely', 'case', 'imperceptibly']",recently interaction labor experience least mature technological intervention generative ai set change undertake interaction labor way approximate human behavior closely case imperceptibly
Neutral,"['everyone', 'talk', 'chatgpt', 'people', 'understand', 'worksnnin', 'article', 'answer', 'question', 'chatgpt', 'happens', 'hood', 'might', 'change', 'programmingnnread', 'share', 'thought']",everyone talk chatgpt people understand worksnnin article answer question chatgpt happens hood might change programmingnnread share thought
Neutral,"['student', 'need', 'learn', 'chatgpt', 'provide', 'good', 'start', 'point', 'many', 'problem', 'solution', 'however', 'may', 'contain', 'error', 'need', 'checked', 'revise', 'student', 'need', 'expertise', 'subject', 'acquire', 'seminar', 'like', 'time', 'gpt3']",student need learn chatgpt provide good start point many problem solution however may contain error need checked revise student need expertise subject acquire seminar like time gpt3
Neutral,"['sure', 'world', 'isnt', 'simulation', 'play', 'around', 'chatgpt', 'last', 'night', 'reference', 'enoby', 'short', 'story', 'harry', 'potter', 'x', 'draco', 'malfoy', 'didnt', 'post', 'cause', 'guy', 'already', 'think', 'im', 'weird', 'anyway', 'lookit']",sure world isnt simulation play around chatgpt last night reference enoby short story harry potter x draco malfoy didnt post cause guy already think im weird anyway lookit
Neutral,"['chatgpt', 'like', 'calculator', 'english', 'world']",chatgpt like calculator english world
Neutral,"['ask', 'chatgpt', 'book', 'worth', 'read', 'result', 'may', 'surprise']",ask chatgpt book worth read result may surprise
Neutral,"['bos', 'chatgpt', 'employeenninstruct', 'accord', 'want', 'itll', 'deliver', 'exactly', 'wantnnenjoy']",bos chatgpt employeenninstruct accord want itll deliver exactly wantnnenjoy
Neutral,"['thanks', 'chatgpt', 'help', 'code', 'even', 'lazier']",thanks chatgpt help code even lazier
Neutral,"['agree', 'chatgpt']",agree chatgpt
Neutral,"['really', 'like', 'story', 'compose', 'chatgpt']",really like story compose chatgpt
Neutral,"['step', '1', 'use', 'chatgpt', 'create', 'reasonable', 'sound', 'question', 'booknstep', '2', 'actually', 'read', 'material', 'able', 'identify', 'question', 'reasonablenhmmm']",step 1 use chatgpt create reasonable sound question booknstep 2 actually read material able identify question reasonablenhmmm
Neutral,"['case', 'havent', 'heard', 'thx', 'n', 'ai', 'entrepreneur', 'startup', 'smb', 'blogger', 'contentcreator', 'marketingstrategy', 'contentmarketing', 'techtrends', 'chatgpt']",case havent heard thx n ai entrepreneur startup smb blogger contentcreator marketingstrategy contentmarketing techtrends chatgpt
Neutral,"['wonder', 'actually', 'need', 'learn', 'lab', 'test', 'work', 'improve', 'prompt', 'let', 'chatgpt', 'question']",wonder actually need learn lab test work improve prompt let chatgpt question
Neutral,"['cant', 'see', 'chatgpt', 'replace', 'google', 'see', 'powerful', 'cod', 'assistant']",cant see chatgpt replace google see powerful cod assistant
Neutral,"['lot', 'google', 'stock', 'im', 'bullish', 'ai', 'bet', 'google', 'would', 'leadnngoogle', 'need', 'come', 'sleeper', 'mode', 'show', 'u', 'get', 'right', 'chatgpt', 'organize', 'world', 'information', 'well', 'google']",lot google stock im bullish ai bet google would leadnngoogle need come sleeper mode show u get right chatgpt organize world information well google
Neutral,"['trick', 'chatgpt', 'computer', 'play', 'starwars', 'telnet']",trick chatgpt computer play starwars telnet
Neutral,"['would', 'use', 'quarkusresteasyqute', 'ill', 'accept', 'answernnchatgpt']",would use quarkusresteasyqute ill accept answernnchatgpt
Neutral,"['chatgpt', 'redefine', 'many', 'industry', 'ton', 'process', 'nn20', 'entertain', 'us', 'chatgpt', 'never', 'know', 'possible']",chatgpt redefine many industry ton process nn20 entertain us chatgpt never know possible
Neutral,"['chatgpt', 'motivational', 'quote', 'andi', 'ask', 'new', 'chatgpl', 'ai', 'write', 'quote', 'would', 'motivate', 'magician', 'turn', 'learn', 'something', 'ai', 'maybe', 'magic']",chatgpt motivational quote andi ask new chatgpl ai write quote would motivate magician turn learn something ai maybe magic
Neutral,"['background', 'humanity', 'didnt', 'stop', 'work', 'technology', 'there', 'whole', 'wild', 'world', 'opportunity', 'let', 'discipline', 'transcend', 'crosspollinate', 'instead', 'stick', 'rigid', 'structure']",background humanity didnt stop work technology there whole wild world opportunity let discipline transcend crosspollinate instead stick rigid structure
Neutral,"['late', 'pln', 'k12live', 'teacher', 'thanks', 'chatgpt', 'controlaltachieve']",late pln k12live teacher thanks chatgpt controlaltachieve
Neutral,"['get', 'chatgpt', 'probabilistic', 'merely', 'represent', 'median', 'intelligence', 'societynnpeople', 'freak', 'excited', 'integrative', 'capability', 'multiple', 'ai', 'system', 'talk', 'streamline', 'daily', 'workflowsnnless', 'execution', 'thinking']",get chatgpt probabilistic merely represent median intelligence societynnpeople freak excited integrative capability multiple ai system talk streamline daily workflowsnnless execution thinking
Neutral,"['dear', 'elmo', 'need', 'interfere', 'order', 'get', 'tweet', 'nonchatgpt', 'topic', 'twitter']",dear elmo need interfere order get tweet nonchatgpt topic twitter
Neutral,"['chatgpt', 'new', 'chatbot', 'like', 'human', 'ever']",chatgpt new chatbot like human ever
Neutral,"['time', 'india', 'move', 'chatgpt', 'ultimate', 'artificial', 'intelligence', 'ai', 'pacino', 'aiact', 'industry40', 'machinelearning']",time india move chatgpt ultimate artificial intelligence ai pacino aiact industry40 machinelearning
Neutral,"['interest', 'blog', 'post', 'chatgpt', 'nn']",interest blog post chatgpt nn
Neutral,"['time', 'take', 'reach', '1', 'million', 'usersnnnetflix', '35', 'yearsntwitter', '2', 'yearsnfacebook', '10', 'monthsnspotify', '5', 'monthsninstagram', '3', 'monthsnchatgpt', '5', 'day']",time take reach 1 million usersnnnetflix 35 yearsntwitter 2 yearsnfacebook 10 monthsnspotify 5 monthsninstagram 3 monthsnchatgpt 5 day
