Text,Dominant_Topic,Topic_Name,VADER_Polarity,VADER_Sentiment
mathlievetradingsignaltime075924design closing point accord thecryptocurrency ai btc etherum bnb orc20 bch xrp usdt shib link dydx chatgpt,3,T3 Experiment AI,0.0,Neutral
chatgpt cause website scrap stop get updated plan train model still also think far early ai company get sue oblivion ip theft,1,T1 Information Technology,-0.296,Negative
one way education foundation could stop pay many people endless englishmajoring chatgpt start pay people system work systemsmatter,4,T4 Random Ask and Conversations,-0.4588,Negative
african union commission fall victim cybercrime use deep fake impersonate head moussa faki incident highlight need strong cybersecurity measure worldwide cybersecurity deepfakes africanunioncommission,1,T1 Information Technology,0.128,Neutral
chatgpt,1,T1 Information Technology,0.0,Neutral
premium account available prem canva pro netflix nf hbo go share yt youtube grammarly gram ph mura spotify quillbot turnitin disney plus amazon prime chatgpt vivamax spotify spoti ph mura wts lfb lf prem wtb lf bns jungkook twice seventeen 2kshwkzj,4,T4 Random Ask and Conversations,0.4404,Positive
chatgpt education folder insane,1,T1 Information Technology,-0.4019,Negative
drink enough red bull simulate effect drug limitless chatgpt burn 8 environment lifespan come new slur nonbinary people,3,T3 Experiment AI,0.0,Neutral
wring child heart face like death reach sittingroom parent chatgpt账号 飞机号 推特账号 推特号 linkedin账号 46441,1,T1 Information Technology,-0.3182,Negative
chatgpt disruption stack overflow lay 28 percent staff ai,1,T1 Information Technology,-0.3612,Negative
ask chatgpt country sophisticate propaganda machine say israel,4,T4 Random Ask and Conversations,-0.25,Negative
ask chatgpt make halloween quiz think question might hard,1,T1 Information Technology,-0.1027,Neutral
sorry chatgpt,1,T1 Information Technology,-0.0772,Neutral
chatgpt rescue,1,T1 Information Technology,0.5106,Positive
chatgpt fun cause im like like fuck ya brother go none humming hawwwyeeeein,4,T4 Random Ask and Conversations,0.5859,Positive
openagents open platform language agent wild tl dr local chatgpt code interpreter,4,T4 Random Ask and Conversations,0.0,Neutral
however take high hand try find pretext quarrel although late one telegram粉丝 chatgpt账号 chatgpt账号 飞机号 推特账号 tiktok账号 小火箭成品id 14224,1,T1 Information Technology,0.4939,Positive
face lie war monger accord chatgpt,4,T4 Random Ask and Conversations,-0.5994,Negative
dalle generate image art within chatgpt nak use presentation ke apa senang sikit,3,T3 Experiment AI,0.0,Neutral
ive experiment chatgptclaude convert screenplay prose format,1,T1 Information Technology,0.0,Neutral
ask chatgpt show face liar reply,4,T4 Random Ask and Conversations,-0.5106,Negative
