Text,Dominant_Topic,Topic_Name,VADER_Polarity,VADER_Sentiment,ROBERTA_Polarity,ROBERTA_Sentiment
mathlievetradingsignaltime075924design closing point accord thecryptocurrency ai btc etherum bnb orc20 bch xrp usdt shib link dydx chatgpt,3,T3 Experiment AI,0.0,Neutral,0.05,Neutral
chatgpt cause website scrap stop get updated plan train model still also think far early ai company get sue oblivion ip theft,1,T1 Information Technology,-0.296,Negative,-0.7079,Negative
one way education foundation could stop pay many people endless englishmajoring chatgpt start pay people system work systemsmatter,4,T4 Random Ask and Conversations,-0.4588,Negative,-0.2858,Negative
african union commission fall victim cybercrime use deep fake impersonate head moussa faki incident highlight need strong cybersecurity measure worldwide cybersecurity deepfakes africanunioncommission,1,T1 Information Technology,0.128,Neutral,-0.6905,Negative
chatgpt,1,T1 Information Technology,0.0,Neutral,0.0639,Neutral
premium account available prem canva pro netflix nf hbo go share yt youtube grammarly gram ph mura spotify quillbot turnitin disney plus amazon prime chatgpt vivamax spotify spoti ph mura wts lfb lf prem wtb lf bns jungkook twice seventeen 2kshwkzj,4,T4 Random Ask and Conversations,0.4404,Positive,0.0818,Neutral
chatgpt education folder insane,1,T1 Information Technology,-0.4019,Negative,-0.6539,Negative
drink enough red bull simulate effect drug limitless chatgpt burn 8 environment lifespan come new slur nonbinary people,3,T3 Experiment AI,0.0,Neutral,0.032,Neutral
wring child heart face like death reach sittingroom parent chatgpt账号 飞机号 推特账号 推特号 linkedin账号 46441,1,T1 Information Technology,-0.3182,Negative,-0.455,Negative
chatgpt disruption stack overflow lay 28 percent staff ai,1,T1 Information Technology,-0.3612,Negative,-0.4877,Negative
ask chatgpt country sophisticate propaganda machine say israel,4,T4 Random Ask and Conversations,-0.25,Negative,-0.5784,Negative
ask chatgpt make halloween quiz think question might hard,1,T1 Information Technology,-0.1027,Neutral,-0.1105,Neutral
sorry chatgpt,1,T1 Information Technology,-0.0772,Neutral,-0.5241,Negative
chatgpt rescue,1,T1 Information Technology,0.5106,Positive,0.02,Neutral
chatgpt fun cause im like like fuck ya brother go none humming hawwwyeeeein,4,T4 Random Ask and Conversations,0.5859,Positive,-0.6012,Negative
openagents open platform language agent wild tl dr local chatgpt code interpreter,4,T4 Random Ask and Conversations,0.0,Neutral,0.036,Neutral
however take high hand try find pretext quarrel although late one telegram粉丝 chatgpt账号 chatgpt账号 飞机号 推特账号 tiktok账号 小火箭成品id 14224,1,T1 Information Technology,0.4939,Positive,-0.1244,Neutral
face lie war monger accord chatgpt,4,T4 Random Ask and Conversations,-0.5994,Negative,-0.669,Negative
dalle generate image art within chatgpt nak use presentation ke apa senang sikit,3,T3 Experiment AI,0.0,Neutral,-0.008,Neutral
ive experiment chatgptclaude convert screenplay prose format,1,T1 Information Technology,0.0,Neutral,0.0689,Neutral
ask chatgpt show face liar reply,4,T4 Random Ask and Conversations,-0.5106,Negative,-0.4846,Negative
panjang nak cerita ni man hahaha basically vision u upload photo screenshots chatgpt understand context voice bayangkan siri natural sound use like chat buddy yang bestnya dia also support multilingual nak cakap rojak dia faham je hahah,3,T3 Experiment AI,0.9062,Positive,0.3095,Positive
optimus home,1,T1 Information Technology,0.0,Neutral,0.1253,Neutral
bro get elon comment tweet,4,T4 Random Ask and Conversations,0.0,Neutral,-0.1076,Neutral
vshaped reversal vbottom accord chatgpt least,1,T1 Information Technology,0.0,Neutral,0.013,Neutral
seem like someone start use chatgpt,1,T1 Information Technology,0.3612,Positive,-0.2203,Neutral
courtesy chatgpt rock band tonedeaf tumbleweed strum error flatline frequency boy band harmony disruptors sync swim country band yeehaw yahoo,1,T1 Information Technology,0.3612,Positive,0.573,Positive
