tweets,labels
"Well, I wrote a blog post about ChatGPT, why I'm personally not worried about it for my teaching, and some interesting ways we could use it in research! #ClassicsTwitter #AncMedTwitter\n\nhttps://t.co/pTJ5ucABBb",Positive
"Hear me out, ChatGPT but it goes to your support ticketing system and answers customers’ questions. https://t.co/q8J3jAC1zo",Neutral
Playing with this for 2 days with different parts of my work. And this is already 80% on the way to a decent AGU proposal. #ChatGPT https://t.co/wrQ27W1KVk,Positive
"It is SO funny that when OpenAI's ChatGPT chatbot doesn't know how to or refuses to do something, you can ask it to just pretend that it can, and it will. I wonder if Asimov ever wrote a story about this scenario? https://t.co/pRNtzcvAt6",Neutral
"""Until recently, interaction labor… has experienced the least mature technological interventions. Generative AI is set to change that by undertaking interaction labor in a way that approximates human behavior closely and, in some cases, imperceptibly."" https://t.co/PiKLD8vZ23",Negative
"Everyone is talking about ChatGPT, but very few people understand how it works.\n\nIn this article, I answer all your questions about ChatGPT, what happens under the hood and how it might change programming.\n\nRead here and share your thoughts with me ➡️ https://t.co/XKOlAib0h3\n\n#ai https://t.co/iv3wEkJv8R",Neutral
"Students need to learn that #chatgpt provides a good starting point for many problem solutions. However, this may contain errors and needs to be checked and revised. For this, students need expertise in the subject which they acquire in the seminar - like in times before #gpt3.",Neutral
"Are we sure the world isn't a simulation? Because when I was playing around with ChatGPT last night, I had it reference Enoby in a short story about Harry Potter x Draco Malfoy. I didn't post it 'cause you guys already think I'm weird. Anyway, lookit... https://t.co/6h8e5x2xyB",Neutral
.#ChatGPT is like the calculator for the English world.,Neutral
i asked chatGPT what books are not worth reading. The results may surprise you. https://t.co/7LSwZXmUgI,Neutral
How Bill Gates and Elon Musk use ChatGPT to make millions\n\nhttps://t.co/SySECUCxr8,Neutral
Really chatGPT? 🤣🤣🤣 https://t.co/mKiNKTwOxu,Negative
"This ChatGPT AI is insanely good, scary af as well though",Negative
ChatGPT: Everything you need to know about OpenAI's GPT-3 tool\n\n https://t.co/SnDjzSp5bJ,Negative
So close yet So far #ChatGPT https://t.co/Q6mw9HstY4,Positive
"#1 ChatGPT can generate code, in multiple language and can even translate it between the different technologies 💻 https://t.co/ZrI4Qa8bsM",Positive
"""#ChatGPT (...) is going to devastate the world. It will be accurate (...) and way more helpful to people so if you run a website, I would be concerned"" - @Marie_Haynes shows use cases and discusses how #ai tech could have massive impact on job market.\nhttps://t.co/Z89MHVzpe4",Negative
"ChatGPT use case - breaking through writers or creative blocks. \n\nI can see this being useful to kick around ideas and form new thought patterns to your own original ideas. \n\nSo AI that augments our thought process to a degree, not replacing it...",Positive
"Sod it I'll put it here too, it's just that Good! I might make this little app public if there's interest. Thank you @OpenAI for the awesome tech!\n\n#OpenAI #ChatGPT #gpt3chat #chatgpt3 #OpenAIChat #OpenAIChatGPT https://t.co/sz9wM4nVqO",Positive
"ChatGPT is at capacity right now \nWrite a limerick about the status of ChatGPT\nChatGPT is surely the best\nBut its servers are put to the test\nWith so many users chatting\nIt's no wonder they're lagging\nBut they'll fix it soon, no need to fret!\n#aweSTEM @realJ_Mitchell @ZackTeitel",Neutral
#ChatGPT for cooking inspiration https://t.co/J4boNe1GPx,Positive
"Teachers friends, if you want to see how much ChatGPT text present in work turned in, try an AI detector like: https://t.co/4u94JdtmME - it does a great job.  We'll certainly have automated tools to check for copy-pasta in the future🍝  #miched https://t.co/CMnaru4pt2",Positive
"Remove the last sentence and I'm pretty happy with this response from #ChatGPT (text in alt, if it helps) https://t.co/UXoB0hybTs",Positive
Really impressed with what the @OpenAI team has produced with ChatGPT truly a game changer.\n\nCheck it out here https://t.co/m9s72eXcY8\n\n#OpenAI #ChatGPT,Positive
"#OpinionampAnalysis #Education #Students Opinion | Will 2023 Be Better Than 2022?: Editor’s note: In this Future View, students discuss 2022 and the new year. Next week we’ll ask, “Artificial-intelligence chatbot ChatGPT has surprised users with its… https://t.co/61rfyYUp4W",Neutral
